存储过程名称,统计开始时间,统计结束时间,状态,错误代码,错误信息
pkg_stat.cMtStat,2017-11-02 00:00:15,2017-11-02 00:04:36,"
        
        
        执行完成
        ",0 , 
updateUserIspecial,2017-11-02 00:00:01,2017-11-02 00:00:01,"
        
        
        执行完成
        ",0 , 
pkg_stat.update_submit,2017-11-02 00:00:01,2017-11-02 00:00:15,"
        
        
        执行完成
        ",0 , 
control,2017-11-02 00:00:00,2017-11-02 00:05:40,"
        
        
        执行完成
        ",0 , 
pkg_user_update.bakBalance,2017-11-02 00:00:00,2017-11-02 00:00:01,"
        
        
        执行完成
        ",0 , 
pkg_user_month_report.control,2017-11-01 00:18:34,2017-11-01 00:18:35,"
        
        
        执行完成
        ",0 , 
control,2017-11-01 00:18:29,2017-11-01 00:18:34,"
        
        
        执行完成
        ",0 , 
bakReport,2017-11-01 00:18:29,2017-11-01 00:18:34,"
        
        
        执行完成
        ",0 , 
bakAuditLog,2017-11-01 00:18:01,2017-11-01 00:18:02,"
        
        
        执行完成
        ",0 , 
bakAuditSms,2017-11-01 00:17:46,2017-11-01 00:18:01,"
        
        
        执行完成
        ",0 , 
bakSendSms,2017-11-01 00:09:34,2017-11-01 00:17:46,"
        
        
        执行完成
        ",0 , 
control,2017-11-01 00:09:32,2017-11-01 00:09:34,"
        
        
        执行完成
        ",0 , 
mosms_bak,2017-11-01 00:09:32,2017-11-01 00:09:34,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-01 00:08:46,2017-11-01 00:08:46,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-01 00:08:46,2017-11-01 00:08:46,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-01 00:08:34,2017-11-01 00:08:46,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-01 00:07:40,2017-11-01 00:07:40,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-01 00:07:40,2017-11-01 00:07:41,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-01 00:07:23,2017-11-01 00:07:40,"
        
        
        执行完成
        ",0 , 
pkg_backfee.backfee,2017-11-01 00:06:49,2017-11-01 00:06:50,"
        
        
        执行完成
        ",0 , 
pkg_user_account.reckoning,2017-11-01 00:06:48,2017-11-01 00:06:49,"
        
        
        执行完成
        ",0 , 
pkg_stat.sMtStat,2017-11-01 00:06:29,2017-11-01 00:06:48,"
        
        
        执行完成
        ",0 , 
pkg_stat.cMoStat,2017-11-01 00:05:20,2017-11-01 00:05:30,"
        
        
        执行完成
        ",0 , 
